,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
244,Alkoholunfälle,insgesamt,2006,12,52.0
246,Alkoholunfälle,insgesamt,2005,01,48.0
247,Alkoholunfälle,insgesamt,2005,02,40.0
248,Alkoholunfälle,insgesamt,2005,03,40.0
249,Alkoholunfälle,insgesamt,2005,04,40.0
250,Alkoholunfälle,insgesamt,2005,05,48.0
251,Alkoholunfälle,insgesamt,2005,06,57.0
252,Alkoholunfälle,insgesamt,2005,07,63.0
253,Alkoholunfälle,insgesamt,2005,08,48.0
254,Alkoholunfälle,insgesamt,2005,09,76.0
255,Alkoholunfälle,insgesamt,2005,10,57.0
256,Alkoholunfälle,insgesamt,2005,11,42.0
257,Alkoholunfälle,insgesamt,2005,12,41.0
259,Alkoholunfälle,insgesamt,2004,01,42.0
260,Alkoholunfälle,insgesamt,2004,02,48.0
261,Alkoholunfälle,insgesamt,2004,03,44.0
262,Alkoholunfälle,insgesamt,2004,04,37.0
263,Alkoholunfälle,insgesamt,2004,05,55.0
264,Alkoholunfälle,insgesamt,2004,06,58.0
265,Alkoholunfälle,insgesamt,2004,07,67.0
266,Alkoholunfälle,insgesamt,2004,08,58.0
267,Alkoholunfälle,insgesamt,2004,09,79.0
268,Alkoholunfälle,insgesamt,2004,10,68.0
269,Alkoholunfälle,insgesamt,2004,11,51.0
270,Alkoholunfälle,insgesamt,2004,12,52.0
272,Alkoholunfälle,insgesamt,2003,01,55.0
273,Alkoholunfälle,insgesamt,2003,02,44.0
274,Alkoholunfälle,insgesamt,2003,03,53.0
275,Alkoholunfälle,insgesamt,2003,04,50.0
276,Alkoholunfälle,insgesamt,2003,05,65.0
277,Alkoholunfälle,insgesamt,2003,06,82.0
278,Alkoholunfälle,insgesamt,2003,07,76.0
279,Alkoholunfälle,insgesamt,2003,08,66.0
280,Alkoholunfälle,insgesamt,2003,09,63.0
281,Alkoholunfälle,insgesamt,2003,10,74.0
282,Alkoholunfälle,insgesamt,2003,11,44.0
283,Alkoholunfälle,insgesamt,2003,12,58.0
285,Alkoholunfälle,insgesamt,2002,01,44.0
286,Alkoholunfälle,insgesamt,2002,02,49.0
287,Alkoholunfälle,insgesamt,2002,03,61.0
288,Alkoholunfälle,insgesamt,2002,04,65.0
289,Alkoholunfälle,insgesamt,2002,05,58.0
290,Alkoholunfälle,insgesamt,2002,06,74.0
291,Alkoholunfälle,insgesamt,2002,07,84.0
292,Alkoholunfälle,insgesamt,2002,08,71.0
293,Alkoholunfälle,insgesamt,2002,09,107.0
294,Alkoholunfälle,insgesamt,2002,10,83.0
295,Alkoholunfälle,insgesamt,2002,11,44.0
296,Alkoholunfälle,insgesamt,2002,12,63.0
298,Alkoholunfälle,insgesamt,2001,01,66.0
299,Alkoholunfälle,insgesamt,2001,02,49.0
300,Alkoholunfälle,insgesamt,2001,03,63.0
301,Alkoholunfälle,insgesamt,2001,04,68.0
302,Alkoholunfälle,insgesamt,2001,05,85.0
303,Alkoholunfälle,insgesamt,2001,06,68.0
304,Alkoholunfälle,insgesamt,2001,07,71.0
305,Alkoholunfälle,insgesamt,2001,08,60.0
306,Alkoholunfälle,insgesamt,2001,09,107.0
307,Alkoholunfälle,insgesamt,2001,10,77.0
308,Alkoholunfälle,insgesamt,2001,11,68.0
309,Alkoholunfälle,insgesamt,2001,12,66.0
310,Alkoholunfälle,insgesamt,2000,01,78.0
311,Alkoholunfälle,insgesamt,2000,02,53.0
312,Alkoholunfälle,insgesamt,2000,03,73.0
313,Alkoholunfälle,insgesamt,2000,04,78.0
314,Alkoholunfälle,insgesamt,2000,05,96.0
315,Alkoholunfälle,insgesamt,2000,06,57.0
316,Alkoholunfälle,insgesamt,2000,07,99.0
317,Alkoholunfälle,insgesamt,2000,08,77.0
318,Alkoholunfälle,insgesamt,2000,09,84.0
319,Alkoholunfälle,insgesamt,2000,10,83.0
320,Alkoholunfälle,insgesamt,2000,11,71.0
321,Alkoholunfälle,insgesamt,2000,12,85.0
373,Alkoholunfälle,Verletzte und Getötete,2020,01,11.0
374,Alkoholunfälle,Verletzte und Getötete,2020,02,19.0
375,Alkoholunfälle,Verletzte und Getötete,2020,03,13.0
376,Alkoholunfälle,Verletzte und Getötete,2020,04,15.0
377,Alkoholunfälle,Verletzte und Getötete,2020,05,26.0
378,Alkoholunfälle,Verletzte und Getötete,2020,06,30.0
379,Alkoholunfälle,Verletzte und Getötete,2020,07,43.0
380,Alkoholunfälle,Verletzte und Getötete,2020,08,29.0
381,Alkoholunfälle,Verletzte und Getötete,2020,09,24.0
382,Alkoholunfälle,Verletzte und Getötete,2020,10,20.0
383,Alkoholunfälle,Verletzte und Getötete,2020,11,11.0
384,Alkoholunfälle,Verletzte und Getötete,2020,12,9.0
386,Alkoholunfälle,Verletzte und Getötete,2019,01,7.0
387,Alkoholunfälle,Verletzte und Getötete,2019,02,7.0
388,Alkoholunfälle,Verletzte und Getötete,2019,03,22.0
389,Alkoholunfälle,Verletzte und Getötete,2019,04,18.0
390,Alkoholunfälle,Verletzte und Getötete,2019,05,21.0
391,Alkoholunfälle,Verletzte und Getötete,2019,06,24.0
392,Alkoholunfälle,Verletzte und Getötete,2019,07,34.0
393,Alkoholunfälle,Verletzte und Getötete,2019,08,23.0
394,Alkoholunfälle,Verletzte und Getötete,2019,09,20.0
395,Alkoholunfälle,Verletzte und Getötete,2019,10,20.0
396,Alkoholunfälle,Verletzte und Getötete,2019,11,19.0
397,Alkoholunfälle,Verletzte und Getötete,2019,12,12.0
399,Alkoholunfälle,Verletzte und Getötete,2018,01,8.0
400,Alkoholunfälle,Verletzte und Getötete,2018,02,13.0
401,Alkoholunfälle,Verletzte und Getötete,2018,03,12.0
402,Alkoholunfälle,Verletzte und Getötete,2018,04,8.0
403,Alkoholunfälle,Verletzte und Getötete,2018,05,23.0
404,Alkoholunfälle,Verletzte und Getötete,2018,06,14.0
405,Alkoholunfälle,Verletzte und Getötete,2018,07,29.0
406,Alkoholunfälle,Verletzte und Getötete,2018,08,18.0
407,Alkoholunfälle,Verletzte und Getötete,2018,09,22.0
408,Alkoholunfälle,Verletzte und Getötete,2018,10,16.0
409,Alkoholunfälle,Verletzte und Getötete,2018,11,13.0
410,Alkoholunfälle,Verletzte und Getötete,2018,12,6.0
412,Alkoholunfälle,Verletzte und Getötete,2017,01,4.0
413,Alkoholunfälle,Verletzte und Getötete,2017,02,4.0
414,Alkoholunfälle,Verletzte und Getötete,2017,03,15.0
415,Alkoholunfälle,Verletzte und Getötete,2017,04,10.0
416,Alkoholunfälle,Verletzte und Getötete,2017,05,16.0
417,Alkoholunfälle,Verletzte und Getötete,2017,06,27.0
418,Alkoholunfälle,Verletzte und Getötete,2017,07,18.0
419,Alkoholunfälle,Verletzte und Getötete,2017,08,14.0
420,Alkoholunfälle,Verletzte und Getötete,2017,09,22.0
421,Alkoholunfälle,Verletzte und Getötete,2017,10,16.0
422,Alkoholunfälle,Verletzte und Getötete,2017,11,13.0
423,Alkoholunfälle,Verletzte und Getötete,2017,12,17.0
425,Alkoholunfälle,Verletzte und Getötete,2016,01,6.0
426,Alkoholunfälle,Verletzte und Getötete,2016,02,3.0
427,Alkoholunfälle,Verletzte und Getötete,2016,03,6.0
428,Alkoholunfälle,Verletzte und Getötete,2016,04,8.0
429,Alkoholunfälle,Verletzte und Getötete,2016,05,17.0
430,Alkoholunfälle,Verletzte und Getötete,2016,06,19.0
431,Alkoholunfälle,Verletzte und Getötete,2016,07,23.0
432,Alkoholunfälle,Verletzte und Getötete,2016,08,12.0
433,Alkoholunfälle,Verletzte und Getötete,2016,09,22.0
434,Alkoholunfälle,Verletzte und Getötete,2016,10,11.0
435,Alkoholunfälle,Verletzte und Getötete,2016,11,7.0
436,Alkoholunfälle,Verletzte und Getötete,2016,12,10.0
438,Alkoholunfälle,Verletzte und Getötete,2015,01,21.0
439,Alkoholunfälle,Verletzte und Getötete,2015,02,3.0
440,Alkoholunfälle,Verletzte und Getötete,2015,03,9.0
441,Alkoholunfälle,Verletzte und Getötete,2015,04,23.0
442,Alkoholunfälle,Verletzte und Getötete,2015,05,30.0
443,Alkoholunfälle,Verletzte und Getötete,2015,06,19.0
444,Alkoholunfälle,Verletzte und Getötete,2015,07,37.0
445,Alkoholunfälle,Verletzte und Getötete,2015,08,29.0
446,Alkoholunfälle,Verletzte und Getötete,2015,09,25.0
447,Alkoholunfälle,Verletzte und Getötete,2015,10,12.0
448,Alkoholunfälle,Verletzte und Getötete,2015,11,11.0
449,Alkoholunfälle,Verletzte und Getötete,2015,12,6.0
451,Alkoholunfälle,Verletzte und Getötete,2014,01,4.0
452,Alkoholunfälle,Verletzte und Getötete,2014,02,7.0
453,Alkoholunfälle,Verletzte und Getötete,2014,03,16.0
454,Alkoholunfälle,Verletzte und Getötete,2014,04,15.0
455,Alkoholunfälle,Verletzte und Getötete,2014,05,19.0
456,Alkoholunfälle,Verletzte und Getötete,2014,06,16.0
457,Alkoholunfälle,Verletzte und Getötete,2014,07,21.0
458,Alkoholunfälle,Verletzte und Getötete,2014,08,13.0
459,Alkoholunfälle,Verletzte und Getötete,2014,09,18.0
460,Alkoholunfälle,Verletzte und Getötete,2014,10,21.0
461,Alkoholunfälle,Verletzte und Getötete,2014,11,14.0
462,Alkoholunfälle,Verletzte und Getötete,2014,12,3.0
464,Alkoholunfälle,Verletzte und Getötete,2013,01,2.0
465,Alkoholunfälle,Verletzte und Getötete,2013,02,0.0
466,Alkoholunfälle,Verletzte und Getötete,2013,03,8.0
467,Alkoholunfälle,Verletzte und Getötete,2013,04,5.0
468,Alkoholunfälle,Verletzte und Getötete,2013,05,21.0
469,Alkoholunfälle,Verletzte und Getötete,2013,06,20.0
470,Alkoholunfälle,Verletzte und Getötete,2013,07,24.0
471,Alkoholunfälle,Verletzte und Getötete,2013,08,22.0
472,Alkoholunfälle,Verletzte und Getötete,2013,09,17.0
473,Alkoholunfälle,Verletzte und Getötete,2013,10,12.0
474,Alkoholunfälle,Verletzte und Getötete,2013,11,12.0
475,Alkoholunfälle,Verletzte und Getötete,2013,12,10.0
477,Alkoholunfälle,Verletzte und Getötete,2012,01,11.0
478,Alkoholunfälle,Verletzte und Getötete,2012,02,5.0
479,Alkoholunfälle,Verletzte und Getötete,2012,03,5.0
480,Alkoholunfälle,Verletzte und Getötete,2012,04,22.0
481,Alkoholunfälle,Verletzte und Getötete,2012,05,33.0
482,Alkoholunfälle,Verletzte und Getötete,2012,06,35.0
483,Alkoholunfälle,Verletzte und Getötete,2012,07,30.0
484,Alkoholunfälle,Verletzte und Getötete,2012,08,31.0
485,Alkoholunfälle,Verletzte und Getötete,2012,09,24.0
486,Alkoholunfälle,Verletzte und Getötete,2012,10,6.0
487,Alkoholunfälle,Verletzte und Getötete,2012,11,10.0
488,Alkoholunfälle,Verletzte und Getötete,2012,12,11.0
490,Alkoholunfälle,Verletzte und Getötete,2011,01,16.0
491,Alkoholunfälle,Verletzte und Getötete,2011,02,7.0
492,Alkoholunfälle,Verletzte und Getötete,2011,03,9.0
493,Alkoholunfälle,Verletzte und Getötete,2011,04,27.0
494,Alkoholunfälle,Verletzte und Getötete,2011,05,20.0
495,Alkoholunfälle,Verletzte und Getötete,2011,06,21.0
496,Alkoholunfälle,Verletzte und Getötete,2011,07,27.0
497,Alkoholunfälle,Verletzte und Getötete,2011,08,17.0
498,Alkoholunfälle,Verletzte und Getötete,2011,09,22.0
499,Alkoholunfälle,Verletzte und Getötete,2011,10,10.0
500,Alkoholunfälle,Verletzte und Getötete,2011,11,16.0
501,Alkoholunfälle,Verletzte und Getötete,2011,12,6.0
503,Alkoholunfälle,Verletzte und Getötete,2010,01,7.0
504,Alkoholunfälle,Verletzte und Getötete,2010,02,10.0
505,Alkoholunfälle,Verletzte und Getötete,2010,03,12.0
506,Alkoholunfälle,Verletzte und Getötete,2010,04,25.0
507,Alkoholunfälle,Verletzte und Getötete,2010,05,15.0
508,Alkoholunfälle,Verletzte und Getötete,2010,06,20.0
509,Alkoholunfälle,Verletzte und Getötete,2010,07,29.0
510,Alkoholunfälle,Verletzte und Getötete,2010,08,25.0
511,Alkoholunfälle,Verletzte und Getötete,2010,09,26.0
512,Alkoholunfälle,Verletzte und Getötete,2010,10,13.0
513,Alkoholunfälle,Verletzte und Getötete,2010,11,7.0
514,Alkoholunfälle,Verletzte und Getötete,2010,12,12.0
516,Alkoholunfälle,Verletzte und Getötete,2009,01,7.0
517,Alkoholunfälle,Verletzte und Getötete,2009,02,12.0
518,Alkoholunfälle,Verletzte und Getötete,2009,03,5.0
519,Alkoholunfälle,Verletzte und Getötete,2009,04,31.0
520,Alkoholunfälle,Verletzte und Getötete,2009,05,34.0
521,Alkoholunfälle,Verletzte und Getötete,2009,06,19.0
522,Alkoholunfälle,Verletzte und Getötete,2009,07,27.0
523,Alkoholunfälle,Verletzte und Getötete,2009,08,26.0
524,Alkoholunfälle,Verletzte und Getötete,2009,09,18.0
525,Alkoholunfälle,Verletzte und Getötete,2009,10,15.0
526,Alkoholunfälle,Verletzte und Getötete,2009,11,5.0
527,Alkoholunfälle,Verletzte und Getötete,2009,12,14.0
529,Alkoholunfälle,Verletzte und Getötete,2008,01,8.0
530,Alkoholunfälle,Verletzte und Getötete,2008,02,16.0
531,Alkoholunfälle,Verletzte und Getötete,2008,03,9.0
532,Alkoholunfälle,Verletzte und Getötete,2008,04,10.0
533,Alkoholunfälle,Verletzte und Getötete,2008,05,37.0
534,Alkoholunfälle,Verletzte und Getötete,2008,06,32.0
535,Alkoholunfälle,Verletzte und Getötete,2008,07,24.0
536,Alkoholunfälle,Verletzte und Getötete,2008,08,23.0
537,Alkoholunfälle,Verletzte und Getötete,2008,09,28.0
538,Alkoholunfälle,Verletzte und Getötete,2008,10,19.0
539,Alkoholunfälle,Verletzte und Getötete,2008,11,14.0
540,Alkoholunfälle,Verletzte und Getötete,2008,12,20.0
542,Alkoholunfälle,Verletzte und Getötete,2007,01,13.0
543,Alkoholunfälle,Verletzte und Getötete,2007,02,15.0
544,Alkoholunfälle,Verletzte und Getötete,2007,03,14.0
545,Alkoholunfälle,Verletzte und Getötete,2007,04,27.0
546,Alkoholunfälle,Verletzte und Getötete,2007,05,39.0
547,Alkoholunfälle,Verletzte und Getötete,2007,06,27.0
548,Alkoholunfälle,Verletzte und Getötete,2007,07,38.0
549,Alkoholunfälle,Verletzte und Getötete,2007,08,20.0
550,Alkoholunfälle,Verletzte und Getötete,2007,09,24.0
551,Alkoholunfälle,Verletzte und Getötete,2007,10,18.0
552,Alkoholunfälle,Verletzte und Getötete,2007,11,26.0
553,Alkoholunfälle,Verletzte und Getötete,2007,12,20.0
555,Alkoholunfälle,Verletzte und Getötete,2006,01,21.0
556,Alkoholunfälle,Verletzte und Getötete,2006,02,21.0
557,Alkoholunfälle,Verletzte und Getötete,2006,03,14.0
558,Alkoholunfälle,Verletzte und Getötete,2006,04,16.0
559,Alkoholunfälle,Verletzte und Getötete,2006,05,28.0
560,Alkoholunfälle,Verletzte und Getötete,2006,06,22.0
561,Alkoholunfälle,Verletzte und Getötete,2006,07,37.0
562,Alkoholunfälle,Verletzte und Getötete,2006,08,25.0
563,Alkoholunfälle,Verletzte und Getötete,2006,09,35.0
564,Alkoholunfälle,Verletzte und Getötete,2006,10,24.0
565,Alkoholunfälle,Verletzte und Getötete,2006,11,22.0
566,Alkoholunfälle,Verletzte und Getötete,2006,12,21.0
568,Alkoholunfälle,Verletzte und Getötete,2005,01,13.0
569,Alkoholunfälle,Verletzte und Getötete,2005,02,14.0
570,Alkoholunfälle,Verletzte und Getötete,2005,03,13.0
571,Alkoholunfälle,Verletzte und Getötete,2005,04,19.0
572,Alkoholunfälle,Verletzte und Getötete,2005,05,21.0
573,Alkoholunfälle,Verletzte und Getötete,2005,06,31.0
574,Alkoholunfälle,Verletzte und Getötete,2005,07,26.0
575,Alkoholunfälle,Verletzte und Getötete,2005,08,33.0
576,Alkoholunfälle,Verletzte und Getötete,2005,09,50.0
577,Alkoholunfälle,Verletzte und Getötete,2005,10,35.0
578,Alkoholunfälle,Verletzte und Getötete,2005,11,14.0
579,Alkoholunfälle,Verletzte und Getötete,2005,12,12.0
581,Alkoholunfälle,Verletzte und Getötete,2004,01,10.0
582,Alkoholunfälle,Verletzte und Getötete,2004,02,21.0
583,Alkoholunfälle,Verletzte und Getötete,2004,03,18.0
584,Alkoholunfälle,Verletzte und Getötete,2004,04,10.0
585,Alkoholunfälle,Verletzte und Getötete,2004,05,30.0
586,Alkoholunfälle,Verletzte und Getötete,2004,06,25.0
587,Alkoholunfälle,Verletzte und Getötete,2004,07,44.0
588,Alkoholunfälle,Verletzte und Getötete,2004,08,47.0
589,Alkoholunfälle,Verletzte und Getötete,2004,09,41.0
590,Alkoholunfälle,Verletzte und Getötete,2004,10,26.0
591,Alkoholunfälle,Verletzte und Getötete,2004,11,20.0
592,Alkoholunfälle,Verletzte und Getötete,2004,12,12.0
594,Alkoholunfälle,Verletzte und Getötete,2003,01,18.0
595,Alkoholunfälle,Verletzte und Getötete,2003,02,16.0
596,Alkoholunfälle,Verletzte und Getötete,2003,03,17.0
597,Alkoholunfälle,Verletzte und Getötete,2003,04,25.0
598,Alkoholunfälle,Verletzte und Getötete,2003,05,26.0
599,Alkoholunfälle,Verletzte und Getötete,2003,06,41.0
600,Alkoholunfälle,Verletzte und Getötete,2003,07,35.0
601,Alkoholunfälle,Verletzte und Getötete,2003,08,40.0
602,Alkoholunfälle,Verletzte und Getötete,2003,09,26.0
603,Alkoholunfälle,Verletzte und Getötete,2003,10,17.0
604,Alkoholunfälle,Verletzte und Getötete,2003,11,31.0
605,Alkoholunfälle,Verletzte und Getötete,2003,12,27.0
607,Alkoholunfälle,Verletzte und Getötete,2002,01,24.0
608,Alkoholunfälle,Verletzte und Getötete,2002,02,22.0
609,Alkoholunfälle,Verletzte und Getötete,2002,03,21.0
610,Alkoholunfälle,Verletzte und Getötete,2002,04,28.0
611,Alkoholunfälle,Verletzte und Getötete,2002,05,32.0
612,Alkoholunfälle,Verletzte und Getötete,2002,06,42.0
